run,query,data,type,phase,netw_time,reas_time
2,query-7.n3,data_100.nt,fwd,total,38,2494
2,query-8.n3,data_100.nt,fwd,create,17,66
2,query-8.n3,data_100.nt,fwd,run,21,539
2,query-8.n3,data_100.nt,fwd,total,38,605
2,query-9.n3,data_100.nt,fwd,create,16,40
2,query-9.n3,data_100.nt,fwd,run,15,4
2,query-9.n3,data_100.nt,fwd,total,31,44
3,query-0.n3,data_100.nt,fwd,create,16,51
3,query-0.n3,data_100.nt,fwd,run,19,17
3,query-0.n3,data_100.nt,fwd,total,35,68
3,query-1.n3,data_100.nt,fwd,create,17,60
3,query-1.n3,data_100.nt,fwd,run,18,14
3,query-1.n3,data_100.nt,fwd,total,35,74
3,query-10.n3,data_100.nt,fwd,create,17,64
3,query-10.n3,data_100.nt,fwd,run,20,6
3,query-10.n3,data_100.nt,fwd,total,37,70
3,query-11.n3,data_100.nt,fwd,create,17,60
3,query-11.n3,data_100.nt,fwd,run,17,27
3,query-11.n3,data_100.nt,fwd,total,34,87
3,query-12.n3,data_100.nt,fwd,create,17,55
3,query-12.n3,data_100.nt,fwd,run,16,170
3,query-12.n3,data_100.nt,fwd,total,33,225
3,query-13.n3,data_100.nt,fwd,create,17,40
3,query-13.n3,data_100.nt,fwd,run,14,2
3,query-13.n3,data_100.nt,fwd,total,31,42
3,query-14.n3,data_100.nt,fwd,create,17,59
3,query-14.n3,data_100.nt,fwd,run,16,42
3,query-14.n3,data_100.nt,fwd,total,33,101
3,query-15.n3,data_100.nt,fwd,create,16,25
3,query-15.n3,data_100.nt,fwd,run,12,1
3,query-15.n3,data_100.nt,fwd,total,28,26
3,query-16.n3,data_100.nt,fwd,create,16,77
3,query-16.n3,data_100.nt,fwd,run,18,508
3,query-16.n3,data_100.nt,fwd,total,34,585
3,query-17.n3,data_100.nt,fwd,create,16,46
3,query-17.n3,data_100.nt,fwd,run,17,6
3,query-17.n3,data_100.nt,fwd,total,33,52
3,query-18.n3,data_100.nt,fwd,create,16,71
3,query-18.n3,data_100.nt,fwd,run,19,11
3,query-18.n3,data_100.nt,fwd,total,35,82
3,query-19.n3,data_100.nt,fwd,create,17,63
3,query-19.n3,data_100.nt,fwd,run,19,7
3,query-19.n3,data_100.nt,fwd,total,36,70
3,query-2.n3,data_100.nt,fwd,create,17,76
3,query-2.n3,data_100.nt,fwd,run,23,5070
3,query-2.n3,data_100.nt,fwd,total,40,5146
3,query-20.n3,data_100.nt,fwd,create,17,117
3,query-20.n3,data_100.nt,fwd,run,29,203
3,query-20.n3,data_100.nt,fwd,total,46,320
3,query-21.n3,data_100.nt,fwd,create,17,41
3,query-21.n3,data_100.nt,fwd,run,16,5
3,query-21.n3,data_100.nt,fwd,total,33,46
3,query-22.n3,data_100.nt,fwd,create,16,61
3,query-22.n3,data_100.nt,fwd,run,20,40
3,query-22.n3,data_100.nt,fwd,total,36,101
3,query-23.n3,data_100.nt,fwd,create,16,65
3,query-23.n3,data_100.nt,fwd,run,17,95
3,query-23.n3,data_100.nt,fwd,total,33,160
3,query-24.n3,data_100.nt,fwd,create,17,100
3,query-24.n3,data_100.nt,fwd,run,23,665
3,query-24.n3,data_100.nt,fwd,total,40,765
3,query-25.n3,data_100.nt,fwd,create,17,62
3,query-25.n3,data_100.nt,fwd,run,16,15
3,query-25.n3,data_100.nt,fwd,total,33,77
3,query-26.n3,data_100.nt,fwd,create,17,52
3,query-26.n3,data_100.nt,fwd,run,15,4
3,query-26.n3,data_100.nt,fwd,total,32,56
3,query-27.n3,data_100.nt,fwd,create,17,80
3,query-27.n3,data_100.nt,fwd,run,24,199
3,query-27.n3,data_100.nt,fwd,total,41,279
3,query-28.n3,data_100.nt,fwd,create,17,111
3,query-28.n3,data_100.nt,fwd,run,47,226
3,query-28.n3,data_100.nt,fwd,total,64,337
3,query-29.n3,data_100.nt,fwd,create,16,72
3,query-29.n3,data_100.nt,fwd,run,18,124
3,query-29.n3,data_100.nt,fwd,total,34,196
3,query-3.n3,data_100.nt,fwd,create,17,67
3,query-3.n3,data_100.nt,fwd,run,21,156
3,query-3.n3,data_100.nt,fwd,total,38,223
3,query-30.n3,data_100.nt,fwd,create,16,73
3,query-30.n3,data_100.nt,fwd,run,18,12
3,query-30.n3,data_100.nt,fwd,total,34,85
3,query-31.n3,data_100.nt,fwd,create,17,63
3,query-31.n3,data_100.nt,fwd,run,17,1184
3,query-31.n3,data_100.nt,fwd,total,34,1247
3,query-32.n3,data_100.nt,fwd,create,16,64
3,query-32.n3,data_100.nt,fwd,run,19,15
3,query-32.n3,data_100.nt,fwd,total,35,79
3,query-33.n3,data_100.nt,fwd,create,17,69
3,query-33.n3,data_100.nt,fwd,run,21,15
3,query-33.n3,data_100.nt,fwd,total,38,84
3,query-34.n3,data_100.nt,fwd,create,16,70
3,query-34.n3,data_100.nt,fwd,run,23,85
3,query-34.n3,data_100.nt,fwd,total,39,155
3,query-35.n3,data_100.nt,fwd,create,16,71
3,query-35.n3,data_100.nt,fwd,run,18,10
3,query-35.n3,data_100.nt,fwd,total,34,81
